estimator,label,N,T,split,alpha,current_date,target_window_start,target_date,example,component,loss
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-08-03,2019-05-03,2020-10-01,341,top_6,0.040636952170237585
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-08-03,2019-05-03,2020-10-01,341,flag_nested,0.016595547390822845
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-08-21,2019-05-23,2020-10-21,342,market_1,0.001014694098879776
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-08-21,2019-05-23,2020-10-21,342,block_2_3,0.007514802414758104
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-08-21,2019-05-23,2020-10-21,342,block_4_6,0.05351285955768992
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-08-21,2019-05-23,2020-10-21,342,top_3,0.005227018537249754
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-08-21,2019-05-23,2020-10-21,342,top_6,0.028172445311233307
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-08-21,2019-05-23,2020-10-21,342,flag_nested,0.011471385982454278
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-09-11,2019-06-13,2020-11-10,343,market_1,0.0011659301643432984
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-09-11,2019-06-13,2020-11-10,343,block_2_3,0.006298438995172462
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-09-11,2019-06-13,2020-11-10,343,block_4_6,0.03107624057330079
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-09-11,2019-06-13,2020-11-10,343,top_3,0.004395711634789616
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-09-11,2019-06-13,2020-11-10,343,top_6,0.016785374155597815
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-09-11,2019-06-13,2020-11-10,343,flag_nested,0.007449005318243576
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-10-01,2019-07-03,2020-12-01,344,market_1,0.001229168580641482
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-10-01,2019-07-03,2020-12-01,344,block_2_3,0.007589732721351883
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-10-01,2019-07-03,2020-12-01,344,block_4_6,0.02639839109618558
