label,component,estimator,reference,n_examples,block_length_origins,model_mean_loss,model_median_loss,model_q25_loss,model_q75_loss,frozen_mean_loss,skill_percent,origin_win_fraction,paired_improvement,improvement_ci_low,improvement_ci_high,skill_ci_low,skill_ci_high
nikkei_full,top_3,3.1 Global Damping,1.1 Frozen Flag,115,24,0.029884606770566324,0.025236356261663023,0.018325232357290742,0.03471703356527074,0.030734783762921217,2.7661720313794973,0.6869565217391305,0.0008501769923548928,7.139042479572627e-05,0.001893969559373177,0.23227892327601948,6.162299933465231
nikkei_full,top_6,3.1 Global Damping,1.1 Frozen Flag,115,24,0.1074484188435904,0.094741124351859,0.06745264751334501,0.1472476405716847,0.10800757116622743,0.5176973397323049,0.5043478260869565,0.0005591523226370355,-5.068487171579609e-05,0.0011571700480808146,-0.046927147021749334,1.0713786409472068
dax_full,block_2_3,3.1 Global Damping,1.1 Frozen Flag,120,24,0.10617049265026575,0.06430556671589283,0.04088047375067616,0.12541472942006704,0.1078715370744698,1.576916831202395,0.6,0.0017010444242040374,-7.393805911349773e-05,0.0031665876506312275,-0.06854269543081984,2.935517316718268
dax_full,block_4_6,3.1 Global Damping,1.1 Frozen Flag,120,24,0.22019184961954508,0.1967344665219301,0.13028038599586061,0.28165452007257796,0.22201391846273918,0.8207002767260771,0.525,0.0018220688431941246,0.0004282660824991885,0.0032136783367343815,0.19290055572397133,1.447512101487338
dax_full,flag_nested,3.1 Global Damping,1.1 Frozen Flag,120,24,0.055923858458788035,0.052268308908129224,0.0342171524323996,0.06871674825107339,0.056542054719954306,1.0933388682603047,0.575,0.0006181962611662632,0.0002657344392388325,0.0009635642678645358,0.46997662280754,1.704155026974079
dax_full,market_1,3.1 Global Damping,1.1 Frozen Flag,120,24,0.004956837732268374,0.004130529412269213,0.0029199867931870016,0.00602577470611626,0.005127900535794763,3.335922807634498,0.725,0.00017106280352638948,0.00010535797058410715,0.00025707431806598,2.054602460571672,5.013246966697191
dax_full,top_3,3.1 Global Damping,1.1 Frozen Flag,120,24,0.07140787413618511,0.04402698965705606,0.027913873604698436,0.084631063436527,0.0725499672952789,1.574215953048556,0.5833333333333334,0.001142093159093785,-9.362702441784566e-05,0.0021764132541999518,-0.12905178032235767,2.9998817853934154
dax_full,top_6,3.1 Global Damping,1.1 Frozen Flag,120,24,0.09140686350791062,0.07646095150199177,0.05372459630983384,0.12370004490651021,0.09194829632878924,0.5888448644470419,0.5166666666666667,0.0005414328208786162,-0.00023392090221936496,0.0013694890325609873,-0.25440482484080973,1.4894120796582904
cac40_full,block_2_3,3.1 Global Damping,1.1 Frozen Flag,120,24,0.03900994352248839,0.028275742437653295,0.020842149570029694,0.0393999939645015,0.03935233080701882,0.8700559217431637,0.65,0.000342387284530433,8.844953878881464e-05,0.0006799177699267039,0.22476315119062507,1.7277700100178943
cac40_full,block_4_6,3.1 Global Damping,1.1 Frozen Flag,120,24,0.20322725940553965,0.1893420417303176,0.1209596984422652,0.2771217030508179,0.20327773351777564,0.024830123478122784,0.5416666666666666,5.0474112235990994e-05,-0.0009108987959514082,0.0010000559781744756,-0.4481055451514834,0.49196533278300525
cac40_full,flag_nested,3.1 Global Damping,1.1 Frozen Flag,120,24,0.04364369801591079,0.04046275747864661,0.02810477677813049,0.056097903826451676,0.04375640237134076,0.2575722621651972,0.55,0.00011270435542998113,-8.99485413183301e-05,0.00031256891615851683,-0.20556658327386607,0.7143387006680442
