label,alpha,validation_mean_complete_flag_loss,n_validation_examples,selected
nikkei_full,0.9,0.10036435104622035,54,False
nikkei_full,0.925,0.10193952086290159,54,False
nikkei_full,0.9500000000000001,0.10352941318091399,54,False
nikkei_full,0.9750000000000001,0.10513226006897233,54,False
nikkei_full,1.0,0.10674638044667137,54,False
dax_full,0.1,0.03761995184867566,55,True
dax_full,0.07500000000000001,0.037631412434458826,55,False
dax_full,0.125,0.037654593144743745,55,False
dax_full,0.05,0.03768905710984307,55,False
dax_full,0.15000000000000002,0.03773518817945462,55,False
dax_full,0.025,0.03779290222387377,55,False
dax_full,0.17500000000000002,0.037861523057501865,55,False
dax_full,0.0,0.03794289860065561,55,False
dax_full,0.2,0.03803331857662468,55,False
dax_full,0.225,0.03825023093472884,55,False
dax_full,0.25,0.03851185269769834,55,False
dax_full,0.275,0.038817714025107294,55,False
dax_full,0.30000000000000004,0.03916728414955752,55,False
dax_full,0.325,0.039559973103877044,55,False
dax_full,0.35000000000000003,0.03999513368896317,55,False
dax_full,0.375,0.040472063673624104,55,False
dax_full,0.4,0.04099000821639215,55,False
dax_full,0.42500000000000004,0.04154816249795129,55,False
dax_full,0.45,0.04214567455155539,55,False
dax_full,0.47500000000000003,0.042781648277617,55,False
dax_full,0.5,0.04345514662753397,55,False
dax_full,0.525,0.04416519494079246,55,False
dax_full,0.55,0.04491078441845861,55,False
dax_full,0.5750000000000001,0.04569087571534266,55,False
dax_full,0.6000000000000001,0.046504402632405635,55,False
dax_full,0.625,0.04735027589037668,55,False
dax_full,0.65,0.04822738696506897,55,False
dax_full,0.675,0.04913461196452572,55,False
dax_full,0.7000000000000001,0.05007081552789911,55,False
dax_full,0.7250000000000001,0.05103485472586213,55,False
dax_full,0.75,0.05202558294238471,55,False
dax_full,0.775,0.05304185371786529,55,False
dax_full,0.8,0.054082524533895567,55,False
dax_full,0.8250000000000001,0.05514646052035706,55,False
dax_full,0.8500000000000001,0.056232538066084685,55,False
dax_full,0.875,0.05733964831500029,55,False
dax_full,0.9,0.058466700530395176,55,False
dax_full,0.925,0.05961262531093307,55,False
dax_full,0.9500000000000001,0.06077637764294108,55,False
dax_full,0.9750000000000001,0.06195693977464803,55,False
dax_full,1.0,0.06315332389921616,55,False
cac40_full,0.05,0.056382068838602604,54,True
cac40_full,0.025,0.05639892328479214,54,False
cac40_full,0.07500000000000001,0.056422653064069066,54,False
cac40_full,0.0,0.05647341489881903,54,False
cac40_full,0.1,0.056520377348512126,54,False
cac40_full,0.125,0.05667484448577213,54,False
cac40_full,0.15000000000000002,0.056885560574982674,54,False
cac40_full,0.17500000000000002,0.057151937285756696,54,False
cac40_full,0.2,0.057473294478647304,54,False
cac40_full,0.225,0.057848863168005075,54,False
cac40_full,0.25,0.05827778881267461,54,False
cac40_full,0.275,0.058759134918367505,54,False
cac40_full,0.30000000000000004,0.059291886934021015,54,False
cac40_full,0.325,0.05987495642301994,54,False
cac40_full,0.35000000000000003,0.060507185488816645,54,False
cac40_full,0.375,0.06118735143325762,54,False
cac40_full,0.4,0.061914171624803074,54,False
cac40_full,0.42500000000000004,0.06268630855283087,54,False
cac40_full,0.45,0.06350237504334114,54,False
cac40_full,0.47500000000000003,0.06436093961064064,54,False
cac40_full,0.5,0.0652605319189777,54,False
cac40_full,0.525,0.06619964832763871,54,False
cac40_full,0.55,0.06717675749269081,54,False
cac40_full,0.5750000000000001,0.06819030599838373,54,False
cac40_full,0.6000000000000001,0.06923872399119177,54,False
cac40_full,0.625,0.07032043078959659,54,False
cac40_full,0.65,0.07143384044297686,54,False
cac40_full,0.675,0.07257736721338083,54,False
cac40_full,0.7000000000000001,0.07374943095451539,54,False
cac40_full,0.7250000000000001,0.07494846236297885,54,False
cac40_full,0.75,0.07617290807760106,54,False
cac40_full,0.775,0.07742123560371722,54,False
cac40_full,0.8,0.07869193804029868,54,False
cac40_full,0.8250000000000001,0.07998353858907509,54,False
cac40_full,0.8500000000000001,0.08129459482611136,54,False
cac40_full,0.875,0.0826237027177379,54,False
cac40_full,0.9,0.08396950036426337,54,False
cac40_full,0.925,0.0853306714565192,54,False
cac40_full,0.9500000000000001,0.08670594843198616,54,False
cac40_full,0.9750000000000001,0.08809411531901963,54,False
cac40_full,1.0,0.0894940102595173,54,False
