,raw,raw,raw,raw,raw,raw,standardised,standardised,standardised,standardised,standardised,standardised,T,N,P,Q
,n_pairs,d_emp,d_th,excess,ratio,angle_deg,n_pairs,d_emp,d_th,excess,ratio,angle_deg,,,,
lag,,,,,,,,,,,,,,,,
460,442,0.2638131504046792,0.11843470213222693,0.14537844827245225,2.227498745343606,49.71949704274787,442,0.2389780144786939,0.1536602855138733,0.0853177289648206,1.555236043454557,39.26941447555411,132,132,3,6
465,441,0.26345089027550644,0.11852663484717395,0.14492425542833248,2.2227146718135984,49.65325696721255,441,0.2395533722925711,0.1537596247519611,0.08579374754061,1.557973184956773,39.369311953439954,132,132,3,6
470,440,0.26295838341516914,0.11861388048704515,0.144344502928124,2.2169275833100253,49.56847899523587,440,0.23990383319589653,0.1538524754423271,0.08605135775356942,1.5593108431058458,39.42322637779593,132,132,3,6
475,439,0.26219446410240693,0.11870349982168577,0.14349096428072117,2.208818311981287,49.44320067187152,439,0.23993414018420212,0.15395400079407465,0.08598013939012747,1.558479409087475,39.408331654440374,132,132,3,6
480,438,0.26145528920160743,0.11879076427695927,0.14266452492464815,2.2009732052234927,49.32136917398847,438,0.2400475912249998,0.15404658651275122,0.08600100471224859,1.558279197605783,39.412696279162304,132,132,3,6
485,437,0.260616412047373,0.11887563766041138,0.14174077438696164,2.1923450185131155,49.18456918227299,437,0.24058108906887576,0.1541252840982361,0.08645580497063968,1.5609449836636449,39.50766377696506,132,132,3,6
490,436,0.2596012748614339,0.11895974025024936,0.14064153461118456,2.182261614856626,49.0209156315876,436,0.24118182077809966,0.15418976796600894,0.08699205281209071,1.5641882334972323,39.61922804694977,132,132,3,6
495,435,0.25924751854659484,0.11904478186591613,0.1402027366806787,2.1777310561885312,48.95532326928438,435,0.24115451890250952,0.1542495590289445,0.08690495987356503,1.5634049161674268,39.601138763174156,132,132,3,6
500,434,0.2590422016165305,0.11912833372822815,0.13991386788830237,2.1744801887978475,48.912059689315576,434,0.24188171083491508,0.15429935187762914,0.08758235895728594,1.5676132653281996,39.741529734850495,132,132,3,6
505,433,0.25894208836234717,0.11921922021657426,0.1397228681457729,2.171982738118498,48.883417592838285,433,0.24231823462009483,0.1543544333642591,0.08796380125583572,1.5698819226542786,39.8202767478016,132,132,3,6
510,432,0.25878386743040266,0.11930665055411734,0.13947721687628534,2.1690648947773337,48.8465374780781,432,0.24272683277894147,0.1543999660770417,0.08832686670189976,1.572065324533989,39.89502609375276,132,132,3,6
515,431,0.2588863963553092,0.11939660093606147,0.13948979541924772,2.1682895017584833,48.84842708411396,431,0.24335059993235458,0.15445910052957032,0.08889149940278426,1.5755018584079252,40.01088260301095,132,132,3,6
520,430,0.2588335388803102,0.11948616404231657,0.13934737483799362,2.1662218463105325,48.82702466238131,430,0.2432729679297353,0.15451197191403235,0.08876099601570295,1.5744603147326859,39.98414697539172,132,132,3,6
525,429,0.25915552892044513,0.11957915599511498,0.13957637292533015,2.167229955453374,48.8614297405724,429,0.24344823519231232,0.15455405292766022,0.0888941822646521,1.5751656496918878,40.011431962872386,132,132,3,6
