component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,mean_residual_cosine,median_residual_cosine,q25_residual_cosine,q75_residual_cosine,mean_erse_outgoing_cosine,median_erse_outgoing_cosine,q25_erse_outgoing_cosine,q75_erse_outgoing_cosine,mean_outgoing_erse_attributed_fraction,median_outgoing_erse_attributed_fraction,q25_outgoing_erse_attributed_fraction,q75_outgoing_erse_attributed_fraction,mean_outgoing_residual_energy_fraction,median_outgoing_residual_energy_fraction,q25_outgoing_residual_energy_fraction,q75_outgoing_residual_energy_fraction,mean_incoming_speed,median_incoming_speed,q25_incoming_speed,q75_incoming_speed,mean_outgoing_speed,median_outgoing_speed,q25_outgoing_speed,q75_outgoing_speed,positive_fraction,all_positive_window_fraction,mean_positive_correlation_fraction,replicate
market_1,464,0.011049644710075355,0.005949775880897611,-0.15650034944336028,0.19519091191699786,0.018256621661810846,0.01767920763673441,-0.1458853279732146,0.1950162688718251,-0.06943532538200642,-0.07963231001315278,-0.2299889328828792,0.07406825685685176,0.04892665999746908,0.02656938597140307,0.006048395916626342,0.07069415283755531,0.951073340002531,0.9734306140285969,0.9293058471624447,0.9939516040833737,0.05406134082622223,0.05278894808921431,0.04594082323372313,0.061746750364513256,0.0540676574761966,0.05278894808921432,0.04597223196791469,0.06174675036451325,0.5150862068965517,0.6724137931034483,0.9967629821452909,5
block_2_3,464,0.03694688423285373,0.039795367174595496,-0.19355633968119718,0.27430315659884263,0.036425326035441706,0.03641720849302139,-0.19442638174964588,0.2741785041428946,-0.006856575063838713,-0.007324231488920146,-0.04143672788445612,0.03048116520960735,0.005127103813781586,0.0012808098347497632,0.00026779978063734555,0.004070186744092069,0.9948728961862183,0.9987191901652502,0.9959298132559079,0.9997322002193627,0.4626364160268778,0.4063019709364689,0.3230358042001636,0.5468231352046488,0.4614082689967005,0.40544379924829244,0.3222008233559208,0.5464481208336288,0.5646551724137931,0.6724137931034483,0.9967629821452909,5
block_4_6,464,0.026522456848170405,0.014904913938173434,-0.16393122204379562,0.21497127351860107,0.02688573797847424,0.017103006433800992,-0.1633556612978956,0.21864543879647413,-0.0008851869214096636,-0.0033256862538484687,-0.02570404771798013,0.022173163142898106,0.02097910860162922,0.0005888218607741913,0.0001199220021762537,0.002133411422240883,0.9790208913983708,0.9994111781392259,0.9978665885777591,0.9998800779978237,1.039992507802633,0.99779702403002,0.7826388856352733,1.2664611997422053,1.0370897635988987,0.9929229891877738,0.7826388856352734,1.2633205328574346,0.521551724137931,0.6724137931034483,0.9967629821452909,5
top_3,464,0.03631170874187991,0.03762860264190948,-0.19518354189638812,0.2720234104724609,0.036164956737951545,0.038688417921971266,-0.1946716823803687,0.27143840712286826,-0.0065780545642542595,-0.00713307825058043,-0.026370092290574968,0.011367915203296717,0.002492662249657204,0.0003998448728746995,8.39088041161562e-05,0.0013598324418133412,0.9975073377503428,0.9996001551271253,0.9986401675581866,0.9999160911958839,0.4648386708962474,0.4081945206165054,0.32575716958416395,0.5489395141902562,0.4636209309838932,0.40785775074463404,0.3255349883948659,0.5480893244974743,0.5581896551724138,0.6724137931034483,0.9967629821452909,5
top_6,464,0.025742819859456,0.024714281856765417,-0.15362700019393183,0.20615758342237486,0.026741334676484513,0.02998943878341282,-0.15338775044603795,0.20633170982729843,-0.01322170092895095,-0.001723030322584666,-0.014481564386010476,0.00912170682095129,0.019278697084267955,0.00013704312637025096,2.820384137708354e-05,0.000493112131727258,0.980721302915732,0.9998629568736297,0.9995068878682727,0.999971796158623,0.9890619448922923,0.9116019770698707,0.7345895458912034,1.224062558512211,0.9863641948680845,0.9096805747736412,0.7345895458912034,1.211494155711205,0.5280172413793104,0.6724137931034483,0.9967629821452909,5
flag_nested,464,0.028678677408927183,0.0329618480081522,-0.1436534004207702,0.19698371785233185,0.02903506042717,0.03383368063422067,-0.14105269473404147,0.197687714749049,-0.01618058638492773,-0.009791754887655057,-0.031970897066377714,0.012632613949430108,0.01171981147406339,0.0005669705861278129,0.00011237636122762851,0.0017424966746459603,0.9882801885259366,0.9994330294138722,0.998257503325354,0.9998876236387724,0.4993841304084774,0.4855837918967658,0.38879974312827814,0.5958043428789574,0.49809198870025984,0.4830955046394537,0.3884018417556374,0.5925746077447697,0.5495689655172413,0.6724137931034483,0.9967629821452909,5
market_1,464,0.02682778000013398,0.03764816833511897,-0.16315198592141644,0.19659262637386032,0.03498932949055276,0.049107107643356296,-0.14923787350165957,0.21116689620490353,-0.0937380791141205,-0.10255676062205223,-0.2501136925337976,0.06369525059748878,0.05373096945475185,0.03150061941957877,0.007540199541868353,0.0726367790146833,0.9462690305452481,0.9684993805804212,0.9273632209853166,0.9924598004581316,0.055068373169568814,0.05380244186244319,0.04763938299510882,0.06121862175345895,0.055089492589013106,0.053802441862443165,0.04763938299510881,0.06121862175345896,0.5495689655172413,0.5711206896551724,0.9966948344009813,6
block_2_3,464,0.08311991706019867,0.08795858169610118,-0.1527996210679407,0.3235687906014394,0.08117599586158486,0.08628694723006546,-0.15728100645613105,0.3220835523937163,-0.011872652730985207,-0.014226618051172825,-0.045934488203395296,0.02521390615261533,0.005218767013562364,0.0014651601859696495,0.0003034547027121748,0.003953354582139246,0.9947812329864376,0.9985348398140304,0.9960466454178607,0.9996965452972878,0.5103580155820471,0.4279327571842427,0.3328030931127603,0.5836750615977485,0.508871249162735,0.4254645725071079,0.33035841250645676,0.5836750615977481,0.5797413793103449,0.5711206896551724,0.9966948344009813,6
block_4_6,464,0.02525063020369295,0.04946180772327348,-0.17244921234858981,0.2161350496287857,0.01899644274323883,0.043226052899957054,-0.1752306337042072,0.2156445740995113,0.00579712183379307,-0.0015541375866444693,-0.031394392729070957,0.024332830647484583,0.021977686333369086,0.0007540109933326655,0.0001638943181768715,0.0024500038807317437,0.9780223136666311,0.9992459890066674,0.9975499961192682,0.9998361056818231,1.093675682141436,1.0431555754012796,0.787807508103046,1.3961346238862415,1.0942523335541652,1.0462755029283874,0.7878075081030462,1.3961346238862409,0.5581896551724138,0.5711206896551724,0.9966948344009813,6
top_3,464,0.08206829085990452,0.08163755700160054,-0.15455070832094653,0.32183920109473285,0.08038617383836565,0.08203050183627447,-0.1582501203389822,0.3156271411868003,-0.008453891131816741,-0.009711398252067396,-0.025885791540077606,0.007735412781878479,0.0029844390257906337,0.00034488244545605173,6.959761539374054e-05,0.0010517396050804817,0.9970155609742094,0.999655117554544,0.9989482603949196,0.9999304023846063,0.512608414238241,0.4298896116264391,0.3357311552994913,0.5844037267769363,0.51112314992543,0.42771630457868076,0.33355397001556636,0.584403726776936,0.584051724137931,0.5711206896551724,0.9966948344009813,6
top_6,464,0.010036899551635534,0.03336962282730128,-0.1766033044501805,0.20010491193990254,0.003975925878724288,0.0307297223256726,-0.18214193827819805,0.18922862079683678,-0.0003511947320424239,-0.003184928760321069,-0.015546611857035616,0.007695574632998684,0.02216116314690637,0.00014730619322683713,2.786751244915342e-05,0.0005115931517563066,0.9778388368530938,0.9998526938067731,0.9994884068482437,0.9999721324875508,1.0230205499599827,0.9630275165283086,0.7496251227612131,1.2941420528458831,1.0237723777439791,0.9637230430405754,0.7496251227612134,1.2941420528458831,0.5344827586206896,0.5711206896551724,0.9966948344009813,6
flag_nested,464,0.035905579001556755,0.02194416534577933,-0.13586095116612576,0.20519004975485755,0.03334840962663512,0.022255939172547888,-0.13857913320038326,0.20319990905822646,-0.008583277348399676,-0.012554494137959445,-0.032472577861965154,0.00987260103945654,0.012607486487274595,0.0005106557803693512,0.00012476701057831385,0.0017047547253939421,0.9873925135127254,0.9994893442196306,0.9982952452746061,0.9998752329894217,0.5305007989305521,0.5153274905368548,0.40053066141592875,0.6374443637271443,0.5303823640865227,0.515327490536855,0.39873805801426376,0.6374443637271441,0.5538793103448276,0.5711206896551724,0.9966948344009813,6
