,raw,standardised,T,N,null_mode1
,mode1,mode1,,,
1170,7.347948414274328,3.0587170066719733,250,29,1.9748602478070927
1180,7.434577388966711,3.0568862572914752,250,29,1.9748602478070927
1190,7.441325308523986,3.0433301238345547,250,29,1.9748602478070927
1200,7.4699610949325885,3.034955788458844,250,29,1.9748602478070927
1210,7.525836607940428,3.0361529215624152,250,29,1.9748602478070927
1220,7.627545348530276,3.042385926086281,250,29,1.9748602478070927
1230,7.7693982543742175,3.051127496684584,250,29,1.9748602478070927
1240,7.928635032920317,3.0566162671548267,250,29,1.9748602478070927
1250,8.078744693079662,3.06545892753609,250,29,1.9748602478070927
1260,8.238937343826182,3.080452487718591,250,29,1.9748602478070927
1270,8.396148724190187,3.098138416744491,250,29,1.9748602478070927
1280,8.526491451423531,3.106277271274408,250,29,1.9748602478070927
1290,8.66317347723606,3.130462517582301,250,29,1.9748602478070927
1300,8.82376965562539,3.1736159443224454,250,29,1.9748602478070927
1310,8.997443364398235,3.2284407670456945,250,29,1.9748602478070927
1320,9.174280688315783,3.2973918562061946,250,29,1.9748602478070927
1330,9.31095267486965,3.3601294418248746,250,29,1.9748602478070927
1340,9.39585161169137,3.4133689584625118,250,29,1.9748602478070927
1350,9.4700450918999,3.468788838257304,250,29,1.9748602478070927
1360,9.554552931198579,3.5282097690291487,250,29,1.9748602478070927
1370,9.642181575690984,3.5783569852301476,250,29,1.9748602478070927
1380,9.743976252668999,3.630101633210475,250,29,1.9748602478070927
1390,9.91547439530675,3.695022527427551,250,29,1.9748602478070927
1400,10.097295228628253,3.759413301781281,250,29,1.9748602478070927
1410,10.265673866172454,3.8270545180895783,250,29,1.9748602478070927
1420,10.356785152960846,3.8870770317426824,250,29,1.9748602478070927
1430,10.414171979574808,3.9328378225423815,250,29,1.9748602478070927
1440,10.431191857883787,3.9778122314260096,250,29,1.9748602478070927
1450,10.43802451223725,4.023588819307536,250,29,1.9748602478070927
1460,10.47068064458456,4.055844324120923,250,29,1.9748602478070927
1470,10.430377425325206,4.080100841300171,250,29,1.9748602478070927
1480,10.368069960941675,4.091748990219105,250,29,1.9748602478070927
1490,10.293373945834766,4.108766863849065,250,29,1.9748602478070927
1500,10.255964669390737,4.129460184663331,250,29,1.9748602478070927
1510,10.226169566624822,4.159715482163741,250,29,1.9748602478070927
1520,10.222627447767714,4.197512553096439,250,29,1.9748602478070927
1530,10.243392491656424,4.2432109157454585,250,29,1.9748602478070927
