,raw,raw,raw,standardised,standardised,standardised,T,N,null_mode1,null_mode2,null_mode3
,mode1,mode2,mode3,mode1,mode2,mode3,,,,,
90,93.73855006295715,2.291939965760204,0.9389848524930453,32.68200443757298,1.6562324963182833,0.585078807628816,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
95,99.62639831568647,2.4147145879962455,0.9739848265743711,35.089405191600385,1.7780483652452512,0.616974192988567,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
100,105.77911994789929,2.5381160359463752,1.0072376694824998,37.55138407661763,1.8915011659974756,0.6484300596759276,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
105,112.32483044704561,2.657893512033082,1.0380621331415536,40.061887712521994,2.010927913290931,0.679635494421067,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
110,119.1931850559466,2.7908890571719245,1.0702205915199552,42.59189667645813,2.1372405420415936,0.7113671951376203,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
115,125.99298687840705,2.8875396129196496,1.0959981833253698,45.08519875919601,2.2559989592458223,0.7401887811300613,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
120,132.94705505383604,2.980609136088368,1.120612241860629,47.54318294783412,2.374640485855128,0.7678309742288861,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
125,140.10241556697594,3.085209032122641,1.1422066771678097,49.937735374700914,2.4997556412835698,0.7958917013244995,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
130,147.51662974053895,3.181398805606645,1.1648175326169672,52.33660324818895,2.6228651445624362,0.82239507583479,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
135,153.67001902997077,3.2379595357534114,1.1796334618732274,54.392598449892546,2.717413362905416,0.8444457182796424,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
140,158.52656236215546,3.263097442679522,1.1856736692992411,56.20317856544058,2.796910584167047,0.8643713504586498,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
145,162.8553066362157,3.2946960064649007,1.186212101970678,57.928504056981886,2.877401002301528,0.8818007363788127,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
150,166.40962150408484,3.3322211620985076,1.1814395487156724,59.52174444952183,2.9673152820166386,0.8965987473353484,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
155,169.52673643357622,3.387796978037993,1.1802341694520921,61.10607036590453,3.058082420263649,0.912800234139854,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
160,172.28458625393807,3.436128870660011,1.179101764373858,62.61877786841021,3.148009835528801,0.9293511605519857,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
165,175.13118617201184,3.484124614045928,1.1850305811730177,64.1434557841251,3.242889705125292,0.9479955935924771,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
170,177.80168552563418,3.519556069025125,1.1925142752988511,65.60167901181696,3.342550163067903,0.9653118931841357,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
175,180.11091387836626,3.532423717232508,1.199932174929745,66.95775008764093,3.438671601705406,0.981186367693408,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
180,182.60217180192026,3.5534368990262166,1.210791594008311,68.32511747956838,3.528326981425878,0.996264630831141,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
185,185.57527882447167,3.581586488840136,1.2295957166791094,69.64675966059131,3.628503706615995,1.009801730581019,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
190,188.74157545623447,3.6352885981106384,1.2480222848118554,71.02377565495998,3.732874031633388,1.024638035425053,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
195,191.85413852443835,3.685405011085665,1.2650311224998414,72.4346335796852,3.8353934218862595,1.040354190695222,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
200,195.15662848381453,3.74301325260472,1.2845035898702244,73.89615647350362,3.935971315741485,1.0558020676312143,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
205,198.4292685950589,3.798636025901657,1.3005479804700664,75.4291835724868,4.043527008178608,1.0697630852590156,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
210,201.8449056252376,3.862440983863376,1.3188668562937602,76.95520207230835,4.153799207144211,1.081816066462681,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
215,205.4053109043737,3.929240567724563,1.3402403837165378,78.50359766553677,4.271108592824539,1.0924688741159576,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
220,209.09494726039406,3.999767941050302,1.3622205517010246,79.99296410033654,4.38428894655667,1.102629453176261,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
225,212.96847667716222,4.069090453749573,1.3872076676488165,81.45349022265856,4.495958538668934,1.1129651485103116,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
230,216.5635899745742,4.1176881564251655,1.411450784248127,82.78384388766855,4.6053698687105475,1.1210738964758216,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
235,219.51698160003014,4.148680812375461,1.43376557842104,83.9882328421872,4.7078103252987935,1.1276357468350109,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
240,221.8379251795853,4.163455527325121,1.4584302790569927,85.09760902005327,4.8027276025602115,1.1326252110489883,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
245,223.86696172640467,4.2095821940725635,1.4773977905676805,86.13292264614051,4.905143285255222,1.1354465025101306,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
250,225.5415379434117,4.273375621574393,1.4932164343262158,87.11703989849309,5.018779304833025,1.1385572019375794,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
255,226.7516535219405,4.331552410412234,1.5049451070483444,87.97240490461387,5.119449117261541,1.1391187778104108,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
260,227.2896478465165,4.375790544912022,1.5182357207707275,88.71819135489851,5.216415433904905,1.1420757950569307,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
265,227.16955949946734,4.398229912093123,1.5289121135504207,89.2546805691028,5.3006120320660965,1.1452901864499785,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
270,226.13448748255476,4.413923440431043,1.5313650419712592,89.57584181830332,5.3853532636940695,1.1454910844697435,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
275,224.6210575360356,4.417680830711614,1.5313063632937358,89.78098175618074,5.458686083246402,1.1465724651339306,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
280,223.33463652938855,4.416528327004516,1.5317000790848287,89.90030898739654,5.520735326623767,1.1454310697546053,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
285,222.41095296445664,4.414395358337726,1.530750077627114,89.97788465252978,5.575270124343063,1.1458065923066623,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
290,221.79799708768135,4.397298615056694,1.5296235795074271,89.90493260300515,5.61851046190487,1.1476738566192104,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
295,220.96612553204656,4.378216584872939,1.5236040018249737,89.69274281322356,5.6506511343482915,1.15023080979914,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
300,220.25065431720927,4.3472685735703145,1.512606630067572,89.41625511310973,5.671201133126615,1.1498262043837542,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
305,219.5515951022074,4.321695912181868,1.5021716808516203,89.12579285353742,5.697522671136553,1.1463016300787894,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
310,218.5759792181217,4.3027281551839565,1.4851711218423855,88.66325687438605,5.727362469436891,1.142341496489602,132,132,75.92371497687229,0.9993354240980662,0.38593256526368147
