date,start,past_start,future_start,original_cosine,residual_cosine,erse_outgoing_cosine,erse_incoming_cosine,incoming_erse_attributed_fraction,outgoing_erse_attributed_fraction,incoming_residual_energy_fraction,outgoing_residual_energy_fraction,incoming_speed,outgoing_speed,erse_speed,static_loss,erse_loss,erse_skill,top_cross_covariance_energy,covariance_transition_energy,top_cross_covariance_share,positive_correlation_fraction,all_correlations_positive,minimum_correlation,erse_rotations,minimum_deviation_before,minimum_deviation_after
2001-12-06,252,210,294,0.2116000329950505,0.21210112399638842,-0.02299023050676287,0.01788252603451662,0.00031978473737515056,0.0005285506987541266,0.9996802152626248,0.9994714493012459,0.49037851753991435,0.28245667854797973,0.37861891087152755,0.026144835837940434,0.07297236974919515,-1.7910815811396414,9.028509583795085,27.161989491878852,0.33239500318982573,0.9669994128009395,False,-0.15536975519130852,123,7.877922166863176e-07,0.24999999999999556
2001-12-26,266,224,308,0.17008970335096402,0.17032595510757573,-0.01411471785557937,0.014301794325272583,0.00020454132092229127,0.00019922526014259923,0.9997954586790777,0.9998007747398574,0.4177286120718581,0.28935132376728695,0.38093881164501936,0.02742426757635356,0.07420040445647835,-1.7056476257713182,7.920507376469686,29.52519707555707,0.26826264211549705,0.9719318849089842,False,-0.1406216094442972,122,5.2495518949423605e-06,0.24999999999999634
2002-01-15,280,238,322,0.1500223493449942,0.15020603278350556,-0.01921917236321896,0.007871658386128874,6.196300574790037e-05,0.0003693765863270748,0.9999380369942521,0.9996306234136729,0.32267176486225135,0.334522120104234,0.37291286439882004,0.03632446939021502,0.08185209500750057,-1.2533596878788726,8.027333736408764,23.272909706723368,0.3449217926579128,0.9812096300645919,False,-0.11965594649910404,125,2.384910014810791e-08,0.24999999999999623
2002-02-04,294,252,336,-0.08933986966230942,-0.08922438518061045,-0.01693287071210126,0.00773313829428529,5.9801427878647395e-05,0.00028672211055280616,0.9999401985721214,0.9997132778894472,0.28245667854797973,0.364703254130342,0.3742349032365872,0.04288532736855499,0.08864683013162751,-1.0670666535852642,8.493527031758731,22.996173472520432,0.3693452322364927,0.9840281855549031,False,-0.0994305442560329,125,7.021378747073322e-06,0.24999999999999556
2002-02-22,308,266,350,0.10535640681720071,0.10484725867471849,-0.030972647871077882,-0.01865129322422158,0.00034787073893605136,0.00095930491614582,0.999652129261064,0.9990406950838542,0.28935132376728717,0.2824619572404085,0.3861030016967701,0.026145055286368457,0.07526209960483647,-1.8786360855039663,8.856010608096085,22.238563802481785,0.3982276322676813,0.985554903112155,False,-0.09550281556247218,126,3.09276014352615e-07,0.24999999999999545
2002-03-14,322,280,364,-0.03294202995409833,-0.032540315249900434,-0.029926141937410836,0.014017332253686163,0.00019648560351026578,0.0008955739712580568,0.9998035143964897,0.9991044260287419,0.3345221201042339,0.3248026402234902,0.3824785884945242,0.034326442212290864,0.08277360089423569,-1.4113655700851493,9.125205809609724,24.313137697788093,0.3753199575898382,0.984380504991192,False,-0.09392865392976318,127,1.93325242949185e-08,0.2499999999999959
2002-04-03,336,294,378,-0.041531707029929456,-0.041466907862740474,-0.0071766911185140985,0.009435094932327246,8.90210163819738e-05,5.150489541061454e-05,0.999910978983618,0.9999484951045894,0.3647032541303418,0.37058807248416453,0.38209585163015825,0.044331370159065,0.0911109758124035,-1.0552258025296535,9.23420848390515,25.27555377325045,0.36534149030902224,0.9848502642395772,False,-0.10704719996547342,127,2.7509352520246796e-05,0.24999999999999584
2002-04-23,350,308,392,0.04423826268842365,0.04411221964165359,-0.022024655986772605,-0.006247733663593067,3.903417593120739e-05,0.0004850854713356334,0.9999609658240688,0.9995149145286644,0.28246195724040857,0.319981869577368,0.37648518496394706,0.03337632969004215,0.07981560211791121,-1.3913834402745682,10.445733627255322,28.810469779376703,0.36256727874436306,0.9837933059307105,False,-0.14134641112639232,126,8.805950092911937e-06,0.24999999999999578
2002-05-13,364,322,406,0.054552031977066304,0.054413487569639735,-0.03667343363039387,-0.004792917863292222,2.2972061644144226e-05,0.0013449407342428499,0.9999770279383559,0.9986550592657572,0.3248026402234899,0.3040956624845997,0.38756937004494085,0.030316033737903442,0.08022254452547879,-1.6462084459675999,12.787120491359929,31.440923495029708,0.4067030821591917,0.983206106870229,False,-0.16155259282085704,125,2.16813521744887e-05,0.249999999999996
2002-05-31,378,336,420,-0.011782403174298016,-0.011768681480516402,-0.004412518427783856,0.003148907137282986,9.915616159150709e-06,1.9470318875391968e-05,0.9999900843838408,0.9999805296811246,0.3705880724841646,0.27556638583810733,0.390935438011183,0.024974374742082972,0.07334355042597245,-1.9367522183602532,14.601748956470146,32.84702169896577,0.44453798856685695,0.9863769817968291,False,-0.13169902722805757,124,4.019356689423057e-06,0.24999999999999573
