,raw,raw,raw,standardised,standardised,standardised,T,N,null_mode1,null_mode2,null_mode3
,mode1,mode2,mode3,mode1,mode2,mode3,,,,,
300,13.447034734621557,0.49992268848699817,0.2348507693487533,6.49401492448133,0.3009875357677003,0.10293812931080605,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
305,13.820013823180679,0.5062830367368579,0.23566320484905906,6.591437633121619,0.298180075740722,0.10845102204944662,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
310,14.320555582705314,0.5089026117800224,0.24102515298614394,6.82575336530777,0.2927959681106657,0.11045490276592082,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
315,14.727388758456726,0.5162146922445826,0.24335737127253854,7.0583648275953,0.2873833172093298,0.10959501611450176,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
320,15.37149358406746,0.5215359107956118,0.2550559343918494,7.366390828559566,0.28203549799769323,0.10946892719365572,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
325,16.10768202153493,0.5297168931533404,0.2664353007157006,7.754635308838216,0.2854301782952615,0.11451657308681557,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
330,16.783015869880103,0.5370783450105326,0.2774880708384795,8.162351976394357,0.28725387895444754,0.11803512406301309,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
335,17.440746108439466,0.5467308378851972,0.29171570089414534,8.535827384124225,0.29152275263063354,0.12272536794662797,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
340,18.06341706594953,0.5610801630187893,0.3061572078624166,8.908602466467928,0.3041359075227384,0.13119438649195989,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
345,18.490414825002308,0.5708175674057537,0.3152925516277262,9.214963886847617,0.3170230362387892,0.135428364161494,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
350,18.52793541096557,0.5819208897469044,0.3143640936452574,9.394067139656373,0.32909452995638305,0.1365123407512686,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
355,18.418490675019225,0.5878342542076745,0.30711716397519345,9.55751399832401,0.34100892302076125,0.13789945985868607,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
360,18.235678102816568,0.5856450515980149,0.30249319689207343,9.682977950405027,0.3530761416269504,0.1382277141266583,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
365,18.050722527508167,0.5680966652803916,0.29584297920636055,9.735499844615736,0.3623027055870893,0.135592425536449,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
370,17.855930878541987,0.559639433529733,0.2946408342893394,9.734033821409035,0.36362963134864007,0.13552749504823494,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
375,17.608553370519264,0.5492876184914105,0.2928841057074523,9.7431844240943,0.35719019828897536,0.1365510477174702,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
380,17.569597138825852,0.5458723629863386,0.2947789573969877,9.713192140796089,0.3471845577897116,0.13651443717875994,26,26,18.741635257465234,0.3451713693283746,0.2449756413868992
