,raw,standardised,T,N,null_mode1
,mode1,mode1,,,
220,12.60733732974697,5.25512439919044,60,26,8.121375278234934
225,12.65394640784002,5.213488560034313,60,26,8.121375278234934
230,12.618973573585857,5.141257893208499,60,26,8.121375278234934
235,12.579568917564544,5.066715997577632,60,26,8.121375278234934
240,12.464226963289324,4.9795209707598085,60,26,8.121375278234934
245,12.271980195205018,4.8827902742110405,60,26,8.121375278234934
250,12.042481559239988,4.761558524538734,60,26,8.121375278234934
255,11.772759914689438,4.642876996712108,60,26,8.121375278234934
260,11.511670449416654,4.546104272891335,60,26,8.121375278234934
265,11.266392897728554,4.473663979190564,60,26,8.121375278234934
270,11.062901495524358,4.407966880452473,60,26,8.121375278234934
275,10.917709923830182,4.371834572153209,60,26,8.121375278234934
280,10.796528234357117,4.368287222919086,60,26,8.121375278234934
285,10.737975330070991,4.402521518617399,60,26,8.121375278234934
290,10.805123978575574,4.484853888143641,60,26,8.121375278234934
295,10.931583753200885,4.588314080571465,60,26,8.121375278234934
300,11.152632368858246,4.719366125817958,60,26,8.121375278234934
305,11.456173630067852,4.883417131638885,60,26,8.121375278234934
310,11.790479890728491,5.090401015313637,60,26,8.121375278234934
315,12.141391004384182,5.315838475653357,60,26,8.121375278234934
320,12.532244749626816,5.558754408504442,60,26,8.121375278234934
325,12.933957471010864,5.817618479250294,60,26,8.121375278234934
330,13.313292284382692,6.089819616366431,60,26,8.121375278234934
335,13.676688231516946,6.355670434970188,60,26,8.121375278234934
340,14.049058019543727,6.624690683577232,60,26,8.121375278234934
345,14.393279802018604,6.87274809703253,60,26,8.121375278234934
350,14.644244000829936,7.080219810749345,60,26,8.121375278234934
355,14.820518319747904,7.256778169130965,60,26,8.121375278234934
360,14.947131654082934,7.402742895172806,60,26,8.121375278234934
365,14.99771962731197,7.503506678343273,60,26,8.121375278234934
370,15.022122141234826,7.560503710474278,60,26,8.121375278234934
375,15.02299708471561,7.579795777039095,60,26,8.121375278234934
380,14.990343111846963,7.5688861740024675,60,26,8.121375278234934
385,14.927341308112222,7.5110961841398645,60,26,8.121375278234934
390,14.793412738329426,7.423100607330191,60,26,8.121375278234934
395,14.671737375392052,7.317021933917674,60,26,8.121375278234934
400,14.532947787451926,7.184089633382009,60,26,8.121375278234934
405,14.397433231474109,7.037362302287538,60,26,8.121375278234934
410,14.26156107097106,6.889135225641973,60,26,8.121375278234934
415,14.195283242792573,6.749686878571689,60,26,8.121375278234934
420,14.150158400922987,6.614010653749865,60,26,8.121375278234934
425,14.188019267722106,6.498091466361466,60,26,8.121375278234934
430,14.251148164097788,6.384622980094808,60,26,8.121375278234934
435,14.367532051948118,6.282247100205873,60,26,8.121375278234934
440,14.51159678661464,6.195257545046155,60,26,8.121375278234934
445,14.704938076315083,6.1587629764970675,60,26,8.121375278234934
450,14.956497886849448,6.146313914993345,60,26,8.121375278234934
455,15.221093100190897,6.14903114576442,60,26,8.121375278234934
460,15.493312389657152,6.1610741195256695,60,26,8.121375278234934
465,15.785560149190799,6.201436465887666,60,26,8.121375278234934
470,16.10321213975119,6.265287404739844,60,26,8.121375278234934
475,16.445971543133652,6.351753262590873,60,26,8.121375278234934
480,16.79964732229816,6.446747850740339,60,26,8.121375278234934
485,17.116648375618702,6.5499624102984475,60,26,8.121375278234934
490,17.404391679184723,6.671100984496838,60,26,8.121375278234934
495,17.632296841084003,6.801333825965331,60,26,8.121375278234934
500,17.855830929561694,6.943697499501456,60,26,8.121375278234934
505,18.04703050372745,7.0582380376865546,60,26,8.121375278234934
510,18.187586295441445,7.158678928792448,60,26,8.121375278234934
515,18.304013159725976,7.254261332779433,60,26,8.121375278234934
520,18.37147559029401,7.333318328103193,60,26,8.121375278234934
525,18.393210657003653,7.377785707209941,60,26,8.121375278234934
530,18.351445624743068,7.403665188468657,60,26,8.121375278234934
535,18.2540036416228,7.417534346678746,60,26,8.121375278234934
540,18.123147622388572,7.419256886045829,60,26,8.121375278234934
545,17.982244212208062,7.422978886433019,60,26,8.121375278234934
550,17.897948075325314,7.435333492825858,60,26,8.121375278234934
555,17.859862149838648,7.444841497442751,60,26,8.121375278234934
560,17.79960933487726,7.445980414665983,60,26,8.121375278234934
565,17.751434017075418,7.4661236179338255,60,26,8.121375278234934
570,17.781996060811075,7.5204450351855305,60,26,8.121375278234934
575,17.897692639019798,7.612213185220804,60,26,8.121375278234934
580,18.101409653445337,7.748496384142429,60,26,8.121375278234934
585,18.343309809730393,7.90921351150351,60,26,8.121375278234934
590,18.69303822649926,8.09248650829823,60,26,8.121375278234934
595,19.051793694425317,8.299427904649917,60,26,8.121375278234934
600,19.455320353054567,8.54173051430488,60,26,8.121375278234934
605,19.86774025580297,8.787379216558074,60,26,8.121375278234934
610,20.21191398190507,8.99906141362973,60,26,8.121375278234934
615,20.559483194997068,9.214159682801784,60,26,8.121375278234934
620,20.88791716494303,9.435991193896404,60,26,8.121375278234934
625,21.20126736131394,9.646512383557884,60,26,8.121375278234934
630,21.45671858544206,9.829913638247133,60,26,8.121375278234934
635,21.621872559071388,9.944035976085523,60,26,8.121375278234934
640,21.708390470374713,9.991361206720331,60,26,8.121375278234934
645,21.740118971536457,10.013966256144254,60,26,8.121375278234934
650,21.68974600067125,9.99583766702048,60,26,8.121375278234934
655,21.651983308282855,9.949401855590379,60,26,8.121375278234934
660,21.54332073384303,9.85114670873249,60,26,8.121375278234934
665,21.41489892011447,9.7335107082313,60,26,8.121375278234934
670,21.27707572781858,9.594140982575766,60,26,8.121375278234934
675,21.09824737460575,9.43258530840187,60,26,8.121375278234934
680,20.939127768440645,9.256455640208362,60,26,8.121375278234934
685,20.7599504693867,9.046466010798607,60,26,8.121375278234934
690,20.5898178003303,8.823549132624,60,26,8.121375278234934
695,20.455572131873595,8.609955610857648,60,26,8.121375278234934
700,20.29414469654864,8.415667434010027,60,26,8.121375278234934
705,20.158176950595195,8.247355520385998,60,26,8.121375278234934
710,20.019095215091486,8.064347157619068,60,26,8.121375278234934
715,19.91278733043059,7.900519482897936,60,26,8.121375278234934
720,19.83528613161995,7.763442947123408,60,26,8.121375278234934
725,19.760034107152162,7.653182985760221,60,26,8.121375278234934
730,19.7674639294711,7.588060755539159,60,26,8.121375278234934
735,19.84855628734142,7.5570046134063,60,26,8.121375278234934
740,19.923803668255324,7.547889048654123,60,26,8.121375278234934
745,20.072207359865548,7.578098716121165,60,26,8.121375278234934
750,20.22493748898556,7.624947423754089,60,26,8.121375278234934
755,20.368766565660003,7.702673047127758,60,26,8.121375278234934
760,20.514493266983855,7.773010294417957,60,26,8.121375278234934
765,20.60357932140179,7.833995410129087,60,26,8.121375278234934
770,20.72226891337724,7.929960467378451,60,26,8.121375278234934
775,20.769021041877036,8.006604585271164,60,26,8.121375278234934
780,20.72440509046776,8.067486784715213,60,26,8.121375278234934
785,20.659531836244938,8.096298308315783,60,26,8.121375278234934
