,raw,raw,raw,standardised,standardised,standardised,T,N,null_mode1,null_mode2,null_mode3
,mode1,mode2,mode3,mode1,mode2,mode3,,,,,
770,3014.093984245252,14.546210891358962,3.649113071642015,821.9382351948352,7.917485538935643,2.527842634162496,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
784,3051.746675708704,13.786596817774738,3.589538972104815,830.0206555065653,7.330389130663087,2.610194283985006,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
798,3087.5337688621985,13.111101318663248,3.584835236683636,838.2291812912824,6.810842756797772,2.6870375961481168,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
812,3122.4219982296827,12.55521356625529,3.565013857118471,846.5727378573989,6.320964150545577,2.745419333113604,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
826,3161.528696978704,12.087133635220527,3.588169727542344,855.5248695971483,5.871011469765068,2.787215054876994,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
840,3197.9040999256404,11.734504520456502,3.6000463079394374,863.0964499877795,5.505022605533348,2.8063850414353526,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
854,3229.605506799518,11.48795769001184,3.614528183338872,868.9421759154391,5.223031486794344,2.8065124561268413,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
868,3255.8121198728118,11.177500459760472,3.596188476753943,873.1172262658117,4.901842590952844,2.784852376088058,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
882,3279.6711109696066,11.115882655133765,3.5390793339457547,877.3748414675263,4.681801512960219,2.753297948700752,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
896,3302.301094759421,11.170451907700127,3.4521032054721763,881.3420288337319,4.525756961583938,2.695349557286021,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
910,3321.111617947979,11.341858610319171,3.36728528710824,883.3483777779787,4.390717800054221,2.640369441053454,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
924,3336.7647671664286,11.526303777586424,3.276807667667355,882.7537424548984,4.272679852708437,2.579050400883023,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
938,3354.2040639151082,11.813017648265081,3.135309472303988,882.6129506000774,4.214938340194432,2.485136941653337,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
952,3373.483675294749,12.17409580937982,3.0289987633013755,882.4439988035343,4.212211040319434,2.38464524914379,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
966,3389.23711815628,12.737690283047542,2.9635324405168104,880.137093039748,4.295023089515444,2.3253266774879133,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
980,3395.291828495437,13.344346993956425,2.8742885705655095,875.6987118878891,4.423177182722665,2.2725442716595974,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
994,3401.6269654554303,14.04796875561291,2.7583823564119774,871.3978427525554,4.61176521607519,2.2240836543054874,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1008,3407.5068307428137,14.803188548730397,2.6159588616804035,866.4777275052484,4.848006212782295,2.1732266497078365,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1022,3411.7666199922023,15.635101866156244,2.5061076061730674,860.6326964308752,5.117172024959872,2.147730475477199,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1036,3412.2518002766287,16.46584659027824,2.373346315220642,853.8472473172083,5.4454084691556695,2.1301397993288664,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1050,3408.3511790389307,17.361782972328626,2.2868768739562153,846.5900594207308,5.868514240629268,2.134803825938207,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
