component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,replicate,mean_relative_gap_1,mean_relative_gap_3,mean_relative_gap_6
block_4_6,446,0.005967606129970804,0.0082862980107345,-0.19461867169322394,0.20786928775660132,0.5246636771300448,0.6579229230033382,0.6539890318716634,13,0.30874490854258374,0.14749058336744497,0.12439917278890747
top_3,446,0.041991732502296,0.038844606997287874,-0.17384571346267053,0.2744208608354988,0.5582959641255605,0.4600996819760946,0.4557081683789805,13,0.30874490854258374,0.14749058336744497,0.12439917278890747
top_6,446,0.0028852636546614755,0.02111778321112892,-0.08034936198285858,0.11772471529180085,0.5605381165919282,0.5630598440390229,0.5621241295985752,13,0.30874490854258374,0.14749058336744497,0.12439917278890747
flag_nested,446,0.023418173055391848,0.024465114971268617,-0.14329328544418568,0.19098307069226678,0.5515695067264574,0.4102520612608437,0.40808086203045013,13,0.30874490854258374,0.14749058336744497,0.12439917278890747
market_1,446,0.05184311719011195,0.049764087572966895,-0.155547105960882,0.27051351567157167,0.5672645739910314,0.18280921348560028,0.18322545958148484,14,0.32534540415147756,0.1419504196466452,0.1203281703304209
block_2_3,446,0.07084015004996158,0.10263832019410651,-0.16370577795315683,0.3282930660046827,0.594170403587444,0.4704794548565423,0.47074406269594726,14,0.32534540415147756,0.1419504196466452,0.1203281703304209
block_4_6,446,0.0347397071246353,0.03189893228896808,-0.14880634056520667,0.2108675761205274,0.5560538116591929,0.6466053725162156,0.646947749380725,14,0.32534540415147756,0.1419504196466452,0.1203281703304209
top_3,446,0.06750501814257284,0.080315351517938,-0.1360034792186863,0.2787376557301722,0.625560538116592,0.4549992240665099,0.45517337687145587,14,0.32534540415147756,0.1419504196466452,0.1203281703304209
top_6,446,0.006343177987742647,0.0033155396592656817,-0.0905806877226965,0.09655135238801206,0.515695067264574,0.5633960644667337,0.5634881727797922,14,0.32534540415147756,0.1419504196466452,0.1203281703304209
flag_nested,446,0.040060530382831146,0.045826450983857,-0.1152261307322989,0.18153627974342865,0.5829596412556054,0.4193071349938348,0.41957611592805344,14,0.32534540415147756,0.1419504196466452,0.1203281703304209
market_1,446,0.004142329833876551,0.025140027568155678,-0.18986385451726506,0.19753662046315146,0.5246636771300448,0.16375326391000383,0.1635590846572435,15,0.3156804699760634,0.12012678460431828,0.12977365344829525
block_2_3,446,-0.004037815530159935,0.015671301566812297,-0.27564486407612127,0.29439814184955715,0.5134529147982063,0.49463924474579374,0.4950525474330037,15,0.3156804699760634,0.12012678460431828,0.12977365344829525
block_4_6,446,-0.009828460869005481,0.025495709358433687,-0.2219585308638914,0.21046165720385446,0.5246636771300448,0.6763738041051317,0.6767044241827784,15,0.3156804699760634,0.12012678460431828,0.12977365344829525
top_3,446,0.0032329289654523734,0.030297732446155905,-0.2432668086566917,0.27601766327761434,0.5358744394618834,0.4965771024998434,0.4968326930258858,15,0.3156804699760634,0.12012678460431828,0.12977365344829525
top_6,446,0.010951612949090705,0.0428725861509824,-0.07349126844167342,0.1220783615835741,0.5964125560538116,0.5541117292330714,0.5543765451537106,15,0.3156804699760634,0.12012678460431828,0.12977365344829525
flag_nested,446,-0.013263740043881195,0.013320063927053647,-0.1743514254464114,0.16392958298594262,0.5358744394618834,0.4183057988363847,0.41839362275032455,15,0.3156804699760634,0.12012678460431828,0.12977365344829525
market_1,446,0.02945274762870305,0.043199254680624466,-0.1790917774968631,0.2527006849352855,0.5403587443946188,0.16386040915640745,0.16424918449198442,16,0.3323365730263248,0.13821092686299852,0.13092485446673371
block_2_3,446,-0.02146637160699144,-0.0147945553156787,-0.22254283092563276,0.1943218231567963,0.4798206278026906,0.45474042029984785,0.4548381756133351,16,0.3323365730263248,0.13821092686299852,0.13092485446673371
block_4_6,446,0.0017309409156068707,0.02110503898731795,-0.1828287953805812,0.19546435448118757,0.5358744394618834,0.6457865936002286,0.6456279461620157,16,0.3323365730263248,0.13821092686299852,0.13092485446673371
top_3,446,-0.024377772801121987,-0.01629241511234633,-0.20901806432547063,0.16462463864519167,0.4730941704035874,0.45553472635251224,0.45544336395307133,16,0.3323365730263248,0.13821092686299852,0.13092485446673371
top_6,446,0.022223408745476833,0.0252100979183386,-0.0924149955243135,0.13580515152729508,0.5538116591928252,0.5545045595713615,0.55420852891045,16,0.3323365730263248,0.13821092686299852,0.13092485446673371
flag_nested,446,0.0005817745327121699,0.012149408428944405,-0.12793511697818236,0.13133943078898283,0.5336322869955157,0.40105380539052776,0.4011618271925842,16,0.3323365730263248,0.13821092686299852,0.13092485446673371
market_1,446,0.04445318050720604,0.054047031144616335,-0.13154899667164022,0.22307804832477743,0.5874439461883408,0.16411251909008903,0.16399225386230706,17,0.33436991047660586,0.13482155811632565,0.12805217054653903
block_2_3,446,0.05065665239777836,0.0757047588094722,-0.17158550095612946,0.295408986353207,0.5672645739910314,0.45563570584580854,0.4587068515367433,17,0.33436991047660586,0.13482155811632565,0.12805217054653903
block_4_6,446,0.024385886894663093,0.04950230046217545,-0.13544051850674965,0.20168295502934347,0.5717488789237668,0.6391829850417279,0.6422937411272411,17,0.33436991047660586,0.13482155811632565,0.12805217054653903
top_3,446,0.05374367135975149,0.0823593579756009,-0.13908469453646732,0.2583582751544616,0.5896860986547086,0.4539254891612233,0.456955773774772,17,0.33436991047660586,0.13482155811632565,0.12805217054653903
top_6,446,0.011127865643201354,0.021099404431962135,-0.08228377303805859,0.11084093503699557,0.5650224215246636,0.5534688799611006,0.5538877818395949,17,0.33436991047660586,0.13482155811632565,0.12805217054653903
flag_nested,446,0.031677955152043545,0.05142829012655178,-0.0942308513080052,0.17829816847961635,0.6053811659192825,0.4008120293088966,0.4024010677541842,17,0.33436991047660586,0.13482155811632565,0.12805217054653903
market_1,446,0.015513479361071756,0.020313906572737787,-0.18266170413257166,0.2120032593322111,0.5291479820627802,0.16336484923018524,0.16330220253642272,18,0.32023729872281503,0.12890185508131316,0.11076444828841826
block_2_3,446,-0.022651416127562957,0.0032128955402809848,-0.29025334986808937,0.2306164768584018,0.5067264573991032,0.4258767838970278,0.4266807331531819,18,0.32023729872281503,0.12890185508131316,0.11076444828841826
block_4_6,446,0.005941625329910365,0.024701005266442456,-0.21476031040486382,0.19553631220022566,0.5291479820627802,0.684640087504072,0.6871341653069796,18,0.32023729872281503,0.12890185508131316,0.11076444828841826
top_3,446,-0.013782321544874649,0.006891818608864163,-0.25279195374996744,0.21711499669222928,0.5089686098654709,0.43052023880827267,0.43134537384591576,18,0.32023729872281503,0.12890185508131316,0.11076444828841826
top_6,446,0.02232420527822708,0.028359971142527453,-0.09788322264324481,0.14578322766316354,0.5560538116591929,0.6158194173838695,0.6181199571534033,18,0.32023729872281503,0.12890185508131316,0.11076444828841826
flag_nested,446,0.002156593404209468,0.006447413693957085,-0.15662420768057309,0.164993319495283,0.5089686098654709,0.40667971602650155,0.4076119962030266,18,0.32023729872281503,0.12890185508131316,0.11076444828841826
market_1,446,0.025823661452512085,0.04056732690355913,-0.16080820455350467,0.24562539845068493,0.547085201793722,0.17978105770956798,0.1798881610320966,19,0.3121200780370703,0.13475315502679616,0.1302918101886656
block_2_3,446,0.024847371531878933,0.03728457951884472,-0.24934753744506394,0.2997300968335099,0.5515695067264574,0.4753393126619198,0.4744615712787223,19,0.3121200780370703,0.13475315502679616,0.1302918101886656
block_4_6,446,0.04400548205272862,0.06484108863683685,-0.14355141091603713,0.23680289727516912,0.5829596412556054,0.650704511412161,0.648940002268153,19,0.3121200780370703,0.13475315502679616,0.1302918101886656
top_3,446,0.02802754271771715,0.032365756067316634,-0.19241073893721158,0.2622560231930407,0.5403587443946188,0.45997697965893924,0.45871071164327926,19,0.3121200780370703,0.13475315502679616,0.1302918101886656
top_6,446,0.03424810263173393,0.03207322258458759,-0.07417404258856174,0.14508598970422146,0.5695067264573991,0.555569430076192,0.5539227997522128,19,0.3121200780370703,0.13475315502679616,0.1302918101886656
flag_nested,446,0.034440173711740525,0.04160424540255453,-0.12029359089603542,0.2070071747234679,0.5762331838565022,0.4184753435192814,0.4177445559129632,19,0.3121200780370703,0.13475315502679616,0.1302918101886656
market_1,446,0.061352461506420576,0.06538634935618802,-0.1481811635582562,0.26874741681140774,0.5919282511210763,0.19039535539264404,0.1903849414555028,20,0.31829497562715564,0.1587426696121951,0.11988010261398446
block_2_3,446,0.06345585746009139,0.06878208399691933,-0.1175769675069413,0.28070186909148775,0.5964125560538116,0.44385740302206017,0.44500137994742417,20,0.31829497562715564,0.1587426696121951,0.11988010261398446
block_4_6,446,0.03615211906958883,0.044672751226004025,-0.12708059944442016,0.2064224819451036,0.57847533632287,0.6510336084107343,0.6525155629597722,20,0.31829497562715564,0.1587426696121951,0.11988010261398446
top_3,446,0.05325894725247695,0.06544638016471724,-0.09576923076901125,0.2410984833214835,0.6053811659192825,0.4247995016206434,0.42599307556170984,20,0.31829497562715564,0.1587426696121951,0.11988010261398446
top_6,446,0.022256652180489018,0.0075419212189022315,-0.09480648064840391,0.12324561225368863,0.515695067264574,0.5821396695308524,0.5827296752079659,20,0.31829497562715564,0.1587426696121951,0.11988010261398446
flag_nested,446,0.044593820146643176,0.047719055866656396,-0.08192642955305984,0.20147042507760038,0.5874439461883408,0.4186653676961633,0.41930172914854336,20,0.31829497562715564,0.1587426696121951,0.11988010261398446
market_1,446,-0.02249253259054569,0.00043891651697052316,-0.2073045615799728,0.203182160626509,0.5,0.17670074832658772,0.17682398685360975,21,0.31366725770465254,0.1331370068164078,0.12944926887472533
block_2_3,446,-0.020588021460607918,-0.02954061943661653,-0.31967759154565867,0.2578820957473929,0.47757847533632286,0.4804295139605701,0.4812039492335893,21,0.31366725770465254,0.1331370068164078,0.12944926887472533
block_4_6,446,0.011895846274684296,0.01898629354924091,-0.21517529509220218,0.2259757885222729,0.5201793721973094,0.6881600271333803,0.6878353840467768,21,0.31366725770465254,0.1331370068164078,0.12944926887472533
top_3,446,0.010211446962787528,0.003505772574655181,-0.2234783002490187,0.24168737817573632,0.5044843049327354,0.471911405221416,0.4726914340719056,21,0.31366725770465254,0.1331370068164078,0.12944926887472533
top_6,446,0.014890985694984836,0.009354293225574697,-0.08933228940264348,0.12543628616002153,0.515695067264574,0.5812476310674287,0.5807276449860054,21,0.31366725770465254,0.1331370068164078,0.12944926887472533
flag_nested,446,-0.005515146676565945,-0.006145162673425575,-0.17722364316533634,0.18314505071301562,0.4977578475336323,0.42522962451647534,0.42544383914876505,21,0.31366725770465254,0.1331370068164078,0.12944926887472533
market_1,446,0.05509766182140053,0.04650029227486297,-0.1214431210647304,0.24112844002937678,0.5874439461883408,0.18041629073686713,0.18009284549519733,22,0.32825673201716593,0.14187919565908186,0.13141315306586984
block_2_3,446,0.0554004509877651,0.06155851181697901,-0.204487234747769,0.3502100248795102,0.5672645739910314,0.4790725320661887,0.4794050494022987,22,0.32825673201716593,0.14187919565908186,0.13141315306586984
block_4_6,446,0.037331673248798845,0.026254019538330765,-0.16330999481269293,0.23862289923019547,0.5269058295964125,0.6572525673060826,0.656250636261728,22,0.32825673201716593,0.14187919565908186,0.13141315306586984
