component,n_triples,mean_cosine,median_cosine,q25_cosine,q75_cosine,positive_fraction,mean_incoming_speed,mean_outgoing_speed,replicate,mean_abs_cross_correlation,original_mean_abs_cross_correlation,median_relative_spectrum_error,median_abs_lag1_error,mean_relative_gap_1,mean_relative_gap_3,mean_relative_gap_6
flag_nested,446,0.037503127679596654,0.04485056012067169,-0.052312256928217324,0.11897338770085678,0.6345291479820628,1.3743297860896229,1.3735434212148199,2,0.010273826374403973,0.31831520286799636,0.0006861703598555818,0.00011623811854690608,0.029332247614311104,0.018586394780686914,0.014340235960064193
market_1,446,0.037914917281602734,0.040247986224698495,-0.20147161452099555,0.27710781176122573,0.5448430493273543,0.8610059179366149,0.8621891153751897,3,0.010260926941527972,0.31831520286799636,0.000685454833094886,0.00010678000368848084,0.025608615733237403,0.01585081175200009,0.01388116072724122
block_2_3,446,0.01800182814422676,0.022452602969856864,-0.12049919091363986,0.16087532367235613,0.531390134529148,1.4129899580995384,1.4144738015427487,3,0.010260926941527972,0.31831520286799636,0.000685454833094886,0.00010678000368848084,0.025608615733237403,0.01585081175200009,0.01388116072724122
block_4_6,446,0.01174682833731255,0.004584792362778043,-0.09877748189848096,0.11262538653924636,0.5134529147982063,1.8446756037026848,1.8452672802127088,3,0.010260926941527972,0.31831520286799636,0.000685454833094886,0.00010678000368848084,0.025608615733237403,0.01585081175200009,0.01388116072724122
top_3,446,0.02353878391215576,0.032567454668496226,-0.0950365191970569,0.13079283918605308,0.5807174887892377,1.3963864910226842,1.3970516097556862,3,0.010260926941527972,0.31831520286799636,0.000685454833094886,0.00010678000368848084,0.025608615733237403,0.01585081175200009,0.01388116072724122
top_6,446,0.032246963159328526,0.03127968994746169,-0.04550575558556771,0.10108262237415586,0.6098654708520179,1.8318084536441506,1.8330829214211342,3,0.010260926941527972,0.31831520286799636,0.000685454833094886,0.00010678000368848084,0.025608615733237403,0.01585081175200009,0.01388116072724122
flag_nested,446,0.02816331162468256,0.0330218797967997,-0.07270167393828529,0.129049880864238,0.5874439461883408,1.4202700614606107,1.4214594472261546,3,0.010260926941527972,0.31831520286799636,0.000685454833094886,0.00010678000368848084,0.025608615733237403,0.01585081175200009,0.01388116072724122
market_1,446,0.025686745346388037,0.02293758922349418,-0.1869930433621421,0.2467250885805558,0.5381165919282511,0.8680301639166622,0.8680485682907124,4,0.010308025450265174,0.31831520286799636,0.0006841057396730696,0.00011280608771617462,0.02557224347360489,0.017878204359426934,0.014170237662943399
block_2_3,446,0.004604374656198954,0.0074241916508850335,-0.13424047972456046,0.15417325225129552,0.515695067264574,1.41811123298429,1.416930553132796,4,0.010308025450265174,0.31831520286799636,0.0006841057396730696,0.00011280608771617462,0.02557224347360489,0.017878204359426934,0.014170237662943399
block_4_6,446,0.010021520194044599,0.003057923268642327,-0.08992160481135865,0.10020378875692734,0.5112107623318386,1.8276254584938543,1.8273259894623426,4,0.010308025450265174,0.31831520286799636,0.0006841057396730696,0.00011280608771617462,0.02557224347360489,0.017878204359426934,0.014170237662943399
top_3,446,0.026041349571899727,0.03668977279831838,-0.08476831911813175,0.13708743376340166,0.5695067264573991,1.3844347878472925,1.3830920937545603,4,0.010308025450265174,0.31831520286799636,0.0006841057396730696,0.00011280608771617462,0.02557224347360489,0.017878204359426934,0.014170237662943399
top_6,446,0.03461715445606763,0.032535796853623955,-0.0427625407752462,0.11411518613241295,0.6053811659192825,1.808977091623446,1.8094947868335842,4,0.010308025450265174,0.31831520286799636,0.0006841057396730696,0.00011280608771617462,0.02557224347360489,0.017878204359426934,0.014170237662943399
flag_nested,446,0.02473803161501576,0.021887545995963847,-0.08275476784796733,0.11685225071273904,0.5695067264573991,1.416248758821071,1.4158591036637551,4,0.010308025450265174,0.31831520286799636,0.0006841057396730696,0.00011280608771617462,0.02557224347360489,0.017878204359426934,0.014170237662943399
market_1,446,0.01048181232416138,0.0071742047429743435,-0.19025331511262136,0.22051732962214682,0.5112107623318386,0.8408977272667814,0.8447119548441506,5,0.010293953228653169,0.31831520286799636,0.0006864681300902974,0.00011007294093672709,0.027941314267889577,0.017117663504761557,0.014010068189629566
block_2_3,446,0.016414519872807707,0.029092351636961028,-0.14980046611177314,0.1762962446500236,0.5448430493273543,1.4305475149592006,1.4294848919647833,5,0.010293953228653169,0.31831520286799636,0.0006864681300902974,0.00011007294093672709,0.027941314267889577,0.017117663504761557,0.014010068189629566
block_4_6,446,0.02269954456213209,0.025903964027765392,-0.07788129757840855,0.1235004733349746,0.5650224215246636,1.8259028465209655,1.8255983742957018,5,0.010293953228653169,0.31831520286799636,0.0006864681300902974,0.00011007294093672709,0.027941314267889577,0.017117663504761557,0.014010068189629566
top_3,446,0.028830109463718414,0.020910584979303655,-0.08940437806418898,0.15599200150966575,0.5493273542600897,1.4005635429318237,1.4005685120701459,5,0.010293953228653169,0.31831520286799636,0.0006864681300902974,0.00011007294093672709,0.027941314267889577,0.017117663504761557,0.014010068189629566
top_6,446,0.026350102552011357,0.026353436015528794,-0.041599817009351836,0.1019603525271907,0.5896860986547086,1.795435552720996,1.7956586773475431,5,0.010293953228653169,0.31831520286799636,0.0006864681300902974,0.00011007294093672709,0.027941314267889577,0.017117663504761557,0.014010068189629566
flag_nested,446,0.019308002930516426,0.0205337590751304,-0.06913645179080002,0.11201360986067758,0.5538116591928252,1.4042700752597734,1.4063221256494742,5,0.010293953228653169,0.31831520286799636,0.0006864681300902974,0.00011007294093672709,0.027941314267889577,0.017117663504761557,0.014010068189629566
market_1,446,0.02276786386899876,0.015198396977974862,-0.16330459628544453,0.241237803490425,0.5224215246636771,0.8747799623473814,0.877877549682434,6,0.01029895941804752,0.31831520286799636,0.0006825611814520035,0.00011206218388961492,0.02616281770662371,0.01759345765758345,0.01422134936992616
block_2_3,446,0.023474627434096212,0.02354306285510827,-0.1340710440086209,0.18127142768280352,0.531390134529148,1.4115030242845181,1.4120343704709402,6,0.01029895941804752,0.31831520286799636,0.0006825611814520035,0.00011206218388961492,0.02616281770662371,0.01759345765758345,0.01422134936992616
block_4_6,446,0.012762862478357314,0.011666337167914357,-0.08607006941521826,0.10756377080484333,0.5269058295964125,1.7996890368293788,1.7997760626884916,6,0.01029895941804752,0.31831520286799636,0.0006825611814520035,0.00011206218388961492,0.02616281770662371,0.01759345765758345,0.01422134936992616
top_3,446,0.03608388654747206,0.027775888445928713,-0.08099785409765288,0.16398449258073516,0.5829596412556054,1.3730063558197894,1.373629973147022,6,0.01029895941804752,0.31831520286799636,0.0006825611814520035,0.00011206218388961492,0.02616281770662371,0.01759345765758345,0.01422134936992616
top_6,446,0.026780373742844046,0.024412580765035607,-0.048770995688915304,0.09858880124924414,0.5829596412556054,1.7657325240434942,1.7664215931718872,6,0.01029895941804752,0.31831520286799636,0.0006825611814520035,0.00011206218388961492,0.02616281770662371,0.01759345765758345,0.01422134936992616
flag_nested,446,0.025001138454273753,0.023234913582913238,-0.07115938328211159,0.13486988320181936,0.57847533632287,1.407553706828328,1.409995516919189,6,0.01029895941804752,0.31831520286799636,0.0006825611814520035,0.00011206218388961492,0.02616281770662371,0.01759345765758345,0.01422134936992616
market_1,446,0.03197812395775641,0.029093457748630085,-0.21779572445651615,0.2567936322367046,0.5179372197309418,0.8705005875989089,0.8736284885444466,7,0.010298785638374464,0.31831520286799636,0.0006872658816220286,0.00012140997835066378,0.024646818721915317,0.01917403031619476,0.014141521425082048
block_2_3,446,0.025207495261686263,0.03269680488459636,-0.11987273579141888,0.18624981668361962,0.5493273542600897,1.4136327212707822,1.4121226025005407,7,0.010298785638374464,0.31831520286799636,0.0006872658816220286,0.00012140997835066378,0.024646818721915317,0.01917403031619476,0.014141521425082048
block_4_6,446,0.015480516999870587,0.024799736142052033,-0.08799469484109311,0.11045280549985959,0.5538116591928252,1.8218668246990917,1.8210075637216623,7,0.010298785638374464,0.31831520286799636,0.0006872658816220286,0.00012140997835066378,0.024646818721915317,0.01917403031619476,0.014141521425082048
top_3,446,0.03514918765271522,0.042379857760828324,-0.07811207008103623,0.15162928941601395,0.625560538116592,1.3707183196459727,1.3689794164734541,7,0.010298785638374464,0.31831520286799636,0.0006872658816220286,0.00012140997835066378,0.024646818721915317,0.01917403031619476,0.014141521425082048
top_6,446,0.030111978855332126,0.03310139256690861,-0.04474425531250751,0.10351383095594084,0.625560538116592,1.8116120898256758,1.811507969617528,7,0.010298785638374464,0.31831520286799636,0.0006872658816220286,0.00012140997835066378,0.024646818721915317,0.01917403031619476,0.014141521425082048
flag_nested,446,0.03513335185062131,0.031107610939955822,-0.0693510702330283,0.13239551866688143,0.57847533632287,1.4146198917933024,1.4158987088354262,7,0.010298785638374464,0.31831520286799636,0.0006872658816220286,0.00012140997835066378,0.024646818721915317,0.01917403031619476,0.014141521425082048
market_1,446,0.016411094933716334,0.03493011341295734,-0.1949252747533452,0.24881424730536694,0.531390134529148,0.8553506787438792,0.8541467455452818,8,0.010286406635323654,0.31831520286799636,0.0006900691333109755,0.00011144466040929196,0.02586282105283035,0.016691683732420817,0.013489889138800042
block_2_3,446,0.017926891232155805,0.009364382184359267,-0.11808207111020814,0.1415932634448492,0.5112107623318386,1.4175478573588751,1.4157510262610515,8,0.010286406635323654,0.31831520286799636,0.0006900691333109755,0.00011144466040929196,0.02586282105283035,0.016691683732420817,0.013489889138800042
block_4_6,446,0.01906813439730457,0.013553916442696044,-0.08212587562642276,0.11941460024870744,0.5291479820627802,1.8223063931610572,1.8216608187317633,8,0.010286406635323654,0.31831520286799636,0.0006900691333109755,0.00011144466040929196,0.02586282105283035,0.016691683732420817,0.013489889138800042
top_3,446,0.026329018398572802,0.02115981518310331,-0.08918641860434905,0.15311449779771993,0.5426008968609866,1.3982842595023584,1.3965117076485325,8,0.010286406635323654,0.31831520286799636,0.0006900691333109755,0.00011144466040929196,0.02586282105283035,0.016691683732420817,0.013489889138800042
top_6,446,0.024753519172221128,0.02105743926070127,-0.05114450647763936,0.09630894388085828,0.594170403587444,1.8127886589302593,1.813718949610628,8,0.010286406635323654,0.31831520286799636,0.0006900691333109755,0.00011144466040929196,0.02586282105283035,0.016691683732420817,0.013489889138800042
flag_nested,446,0.018922816186273943,0.023076214692595316,-0.06549299214494482,0.10872867857222882,0.5605381165919282,1.4121127275170697,1.4108904493532806,8,0.010286406635323654,0.31831520286799636,0.0006900691333109755,0.00011144466040929196,0.02586282105283035,0.016691683732420817,0.013489889138800042
market_1,446,0.004466151114937233,0.004914173158989567,-0.20441681683299445,0.2150987599723933,0.5089686098654709,0.8319054681834782,0.8312844515414911,9,0.010354629621366414,0.31831520286799636,0.0006831444723053397,0.00011680601677955399,0.026626864707748374,0.0183989603302013,0.014232572732901625
